name,batch,industry,location,website_present,website,detail_url,description,description_length,logo,video,team_size,founders,github,score
Clear,Summer 2014,"Fintech, Consumer Finance","Clear Bengaluru, KA",False,,https://www.ycombinator.com/companies/cleartax,"Fintech SaaS platform for invoices, taxes, wealth management & credit.",70,https://bookface-images.s3.amazonaws.com/small_logos/b9c7802fe390e275d36ad0835a41223e647bcf5a.png,,,,,9
MBX,Winter 2014,"Consumer, Apparel and Cosmetics","San Francisco, CA",False,,https://www.ycombinator.com/companies/mbx,A global multi-brand beauty and personal care startup.,54,https://bookface-images.s3.amazonaws.com/small_logos/d5fd0f7b4450afa7af62792ef63d6c3e6a3025a3.png,,,,,9
Axial Composites Industries,Fall 2025,"Industrials, Aviation and Space",Axial Composites,False,,https://www.ycombinator.com/companies/axial-composites-industries,Carbon Fiber Manufacturing at the Speed of Software,51,https://bookface-images.s3.amazonaws.com/small_logos/007bb2c508bd83c57c360e94b7f692b23ba29ca1.png,,,,,9
Anto Biosciences,Fall 2025,Healthcare,"Anto Biosciences San Francisco, CA",False,,https://www.ycombinator.com/companies/anto-biosciences,A multimodal foundation model for microbial communities.,56,https://bookface-images.s3.amazonaws.com/small_logos/83f56c369ac0fb5e70438516e774b8603717940a.png,,,,,9
Iris,Fall 2025,Consumer,"Iris San Francisco, CA",False,,https://www.ycombinator.com/companies/iriscal,"All your calendars and inboxes, powered by an intelligent assistant.",68,https://bookface-images.s3.amazonaws.com/small_logos/ab0621356dad2e93ac6c0e1b6a09ff4607f0968f.png,,,,,9
Nexus,Fall 2025,B2B,Nexus Brussels,False,,https://www.ycombinator.com/companies/gpt,We help non-technical teams build AI agent no-code,50,https://bookface-images.s3.amazonaws.com/small_logos/e16ccc5827c9436c2ec14d6feb3d12e71045157d.png,,,,,9
Vulcan Technologies,Summer 2025,"B2B, Legal","Vulcan Technologies Austin, TX",False,,https://www.ycombinator.com/companies/vulcan-technologies,AI regulatory drafting and compliance,37,https://bookface-images.s3.amazonaws.com/small_logos/99289e9c71cb1127d9713f9951ef029e17d28248.png,,,,,9
TectoAI,Summer 2025,B2B,TectoAI,False,,https://www.ycombinator.com/companies/tectoai,Recruit and Monitor AI Employees,32,https://bookface-images.s3.amazonaws.com/small_logos/660e2396a1d079a64a42ea2a4ce4b81cefd385f0.png,,,,,9
Assembly,Summer 2015,"B2B, Supply Chain and Logistics","Assembly South San Francisco, CA",False,,https://www.ycombinator.com/companies/assembly,Advanced manufacturing and distribution solutions (for China-based…,67,https://bookface-images.s3.amazonaws.com/small_logos/6ccab13d3e0d1ffa05b2e8a687246cac34ef55b8.png,,,,https://github.com/asm-co,8
Reebee,Summer 2013,"Consumer, Home and Personal","Reebee Kitchener, ON",True,http://reebee.com,https://www.ycombinator.com/companies/reebee,Flyer app.,10,,,,,,8
Panorama Education,Summer 2013,Education,"Panorama Education Boston, MA",False,,https://www.ycombinator.com/companies/panorama-education,Improving education for every student.,38,https://bookface-images.s3.amazonaws.com/small_logos/cf3c7c83086821a88ee659c700552b3a9a953709.png,,,,https://github.com/panorama-ed,8
Asseta,Summer 2013,B2B,"Asseta Newport Beach, CA",True,http://www.asseta.com,https://www.ycombinator.com/companies/asseta,Marketplace for industrial spare parts and capital equipment.,61,,,,,,8
7cups,Summer 2013,"Healthcare, Healthcare Services","Virginia Beach, VA",True,http://7cups.com,https://www.ycombinator.com/companies/7cups,7 Cups is an emotional support service that matches up people that…,67,,,,,,8
Wevorce,Winter 2013,"Consumer, Home and Personal","Wevorce Bothell, WA",True,http://wevorce.com,https://www.ycombinator.com/companies/wevorce,Changing divorce for good by making it a way less horrible experience…,70,,,,,,8
RADAR,Winter 2013,"B2B, Retail","New York, NY",True,https://goradar.com,https://www.ycombinator.com/companies/radar,RADAR is building technology to completely transform the in-store…,66,,,,,,8
Lollipuff,Winter 2013,"Consumer, Apparel and Cosmetics","Lollipuff Mountain View, CA",True,http://lollipuff.com,https://www.ycombinator.com/companies/lollipuff,Online Auctions for Authentic (Women's) Designer Goods,54,,,,,,8
Lawdingo,Winter 2013,"Consumer, Home and Personal","Lawdingo New York, NY",True,http://lawdingo.com,https://www.ycombinator.com/companies/lawdingo,Lawdingo provides virtual paralegal services to law firms.,58,,,,,,8
Vastrm,Summer 2012,"Consumer, Apparel and Cosmetics","Vastrm Burlingame, CA",True,http://vastrm.com,https://www.ycombinator.com/companies/vastrm,Mass customized active apparel. We are building a full turn key…,64,,,,,,8
Mth Sense,Summer 2012,"B2B, Marketing","Mth Sense San Jose, CA",True,http://www.mthsense.com/,https://www.ycombinator.com/companies/mth-sense,We're a mobile on-device profiling and ad-serving platform initially…,69,,,,,,8
CleverDeck,Winter 2012,Education,CleverDeck,True,http://cleverdeck.com,https://www.ycombinator.com/companies/cleverdeck,Collaborate with an artist to commission original artwork you'll live…,70,,,,,,8
Nottelabs,Summer 2025,B2B,"Nottelabs San Francisco, CA",False,,https://www.ycombinator.com/companies/nottelabs,Reliable Web Agents for Enterprise,34,https://bookface-images.s3.amazonaws.com/small_logos/63003c4a4bcce138151403c1e186fcebf3dfa34a.png,,,,https://github.com/nottelabs/notte,8
Double Robotics,Summer 2012,"B2B, Productivity","Double Robotics Burlingame, CA",True,https://doublerobotics.com,https://www.ycombinator.com/companies/double-robotics,Telepresence robots,19,,,,,https://github.com/doublerobotics,7
HealthSherpa,Summer 2012,"Healthcare, Healthcare Services",HealthSherpa,True,https://healthsherpa.com,https://www.ycombinator.com/companies/healthsherpa,Private sector Healthcare.gov.,30,,,,,https://github.com/healthsherpa,7
Human Dx,Summer 2012,"Healthcare, Healthcare IT","Human Dx San Francisco, CA",True,http://humandx.org,https://www.ycombinator.com/companies/human-dx,The Human Diagnosis Project.,28,,,,,https://github.com/humandx,7
Blue Frog Gaming,Summer 2007,"Consumer, Gaming","Blue Frog Gaming Akron, OH",True,http://bluefroggaming.com,https://www.ycombinator.com/companies/blue-frog-gaming,,0,,,,,https://github.com/BlueFrogGaming,7
Shoptiques,Winter 2012,"Consumer, Apparel and Cosmetics","Shoptiques New York, NY",True,http://shoptiques.com,https://www.ycombinator.com/companies/shoptiques,Shoptiques.com lets you shop the world's best local boutiques online.,69,,,,,https://github.com/shoptiques,7
Cognito,Summer 2014,"B2B, Engineering, Product and Design","Cognito Palo Alto, CA",True,https://cognitohq.com,https://www.ycombinator.com/companies/cognito,"Frictionless, modern identity verification that starts with just a…",67,https://bookface-images.s3.amazonaws.com/small_logos/a1000d5d5bee5c940de394e0841af070cfa6e903.png,,,,,6
OpenInvest,Summer 2015,Fintech,OpenInvest,True,http://www.openinvest.com,https://www.ycombinator.com/companies/openinvest,Values based personalization at scale for asset and wealth management,69,https://bookface-images.s3.amazonaws.com/small_logos/3abd55a846c0a5b7e349727420a779d13c382e27.png,,,,,6
Paystack,Winter 2016,"Fintech, Payments","Paystack Lagos, LA",True,https://www.paystack.com,https://www.ycombinator.com/companies/paystack,Modern payments infrastructure for Africa,41,https://bookface-images.s3.amazonaws.com/small_logos/8f4d18618abc91ad79be53d918a199daffad6f58.png,,,,,6
DrChrono,Winter 2011,"Healthcare, Healthcare IT",DrChrono,True,https://www.drchrono.com,https://www.ycombinator.com/companies/drchrono,The essential platform for modern medical practices and patients.,65,https://bookface-images.s3.amazonaws.com/small_logos/777dd100388a6a777571baee7bd41695a7129e6a.png,,,,,6
OMGPop,Summer 2006,"Consumer, Gaming","New York, NY",True,https://omgpop.com,https://www.ycombinator.com/companies/omgpop,An independent flash game studio.,33,https://bookface-images.s3.amazonaws.com/small_logos/559672d261ba77a0c9e1d4b44d65ac758988d804.png,,,,,6
North,Winter 2013,"Consumer, Virtual and Augmented Reality","North Kitchener, ON",True,https://www.bynorth.com,https://www.ycombinator.com/companies/north,Wearable computing hardware: biosignal gesture recognition,58,https://bookface-images.s3.amazonaws.com/small_logos/e598d38b27ed1203b3e155824bb2a55c1ba65e32.png,,,,,6
Nowports,Winter 2019,"B2B, Supply Chain and Logistics",Nowports The,True,https://nowports.com/,https://www.ycombinator.com/companies/nowports,The core engine of supply chain in LATAM,40,https://bookface-images.s3.amazonaws.com/small_logos/3adc2d7230f0a2c3c705c361a16f9f9b93e81b7d.png,,,,,6
GitPrime,Winter 2016,"B2B, Engineering, Product and Design",GitPrime,True,https://www.gitprime.com,https://www.ycombinator.com/companies/gitprime,Visibility and analytics for software development leaders.,58,https://bookface-images.s3.amazonaws.com/small_logos/b2d3dd198bca90e8788c0aefde72b644504fe75e.png,,,,,6
Proxy,Summer 2016,"Consumer, Consumer Electronics","Proxy San Francisco, CA",True,https://proxy.com,https://www.ycombinator.com/companies/proxy,Smart ring digital wallet,25,https://bookface-images.s3.amazonaws.com/small_logos/190493234a6fff12dbec698756a71b558faa2267.png,,,,,6
FutureAdvisor,Summer 2010,"Fintech, Consumer Finance",FutureAdvisor,True,http://futureadvisor.com,https://www.ycombinator.com/companies/futureadvisor,The online financial management service for everyone.,53,https://bookface-images.s3.amazonaws.com/small_logos/f9646d12ef702815678b089d1127fdf3de037009.png,,,,,6
SmartAsset,Summer 2012,"Fintech, Consumer Finance",SmartAsset,True,http://smartasset.com,https://www.ycombinator.com/companies/smartasset,Marketplace connecting consumers to financial advisors,54,https://bookface-images.s3.amazonaws.com/small_logos/d79adb13b4acb20f9e08e876a7ad54319a3e7a10.png,,,,,6
Wave,Winter 2012,"Fintech, Payments",Wave Dakar,True,https://wave.com,https://www.ycombinator.com/companies/wave,Mobile money app for Africa,27,https://bookface-images.s3.amazonaws.com/small_logos/7bb010b1c1951d3cc6578fb3ff4c83700de7c376.png,,,,,6
Zepto,Winter 2021,"Consumer, Food and Beverage",Zepto MH,True,https://www.zeptonow.com/,https://www.ycombinator.com/companies/zepto,10-Minute Grocery Delivery in India,35,https://bookface-images.s3.amazonaws.com/small_logos/b419835c59c3d3a4db7e0aaf094b54bb5cee0adb.png,,,,,6
Focal Systems,Winter 2016,"B2B, Retail","Focal Systems New York, NY",True,http://www.focal.systems,https://www.ycombinator.com/companies/focal-systems,Building the Operating System for B&M Retail using Deep Learning,64,https://bookface-images.s3.amazonaws.com/small_logos/e25ba04ae8686807d958c48f1372502741b4b2e3.png,,,,,6
Petcube,Winter 2016,"Consumer, Consumer Electronics","Petcube San Francisco, CA",True,http://petcube.com,https://www.ycombinator.com/companies/petcube,Petcube is on the mission to improve lives of pets and pet owners…,66,https://bookface-images.s3.amazonaws.com/small_logos/4465bafb8a4cbc6c32c43f81430c3a0b42fecf0f.png,,,,,6
Outschool,Winter 2016,Education,"Outschool San Francisco, CA",True,http://outschool.com,https://www.ycombinator.com/companies/outschool,A live online learning platform that empowers kids ages 3–18.,61,https://bookface-images.s3.amazonaws.com/small_logos/8d4f5bc63953a4887b889e74645b81f6aa339942.png,,,,,6
Mason,Winter 2016,B2B,"Mason Seattle, WA",True,http://www.bymason.com,https://www.ycombinator.com/companies/mason,Mason is the fastest way to take smart devices from idea to end user,68,https://bookface-images.s3.amazonaws.com/small_logos/70881ad94c495ff9a1501555a31b61ee9ba0c769.png,,,,,6
MagicBus,Winter 2016,"Consumer, Transportation Services",MagicBus,True,http://www.magicbus.io,https://www.ycombinator.com/companies/magicbus,We make vanpool simple.,23,https://bookface-images.s3.amazonaws.com/small_logos/42c5e78689fec00c14ce2b4bb21977a7d3dbc702.png,,,,,6
iSono Health,Winter 2016,"Healthcare, Medical Devices","Health San Francisco, CA",True,http://www.isonohealth.com,https://www.ycombinator.com/companies/isono-health,AI-powered platform for Accessible and Personalized Breast Health…,66,https://bookface-images.s3.amazonaws.com/small_logos/d92dab4a543fbdafaf35d8ee128bd09f103d392c.png,,,,,6
Yardbook,Winter 2016,"B2B, Finance and Accounting","Yardbook San Mateo, CA",True,https://www.yardbook.com,https://www.ycombinator.com/companies/yardbook,Marketplace & Software Revolutionizing Yard Care,48,https://bookface-images.s3.amazonaws.com/small_logos/e0abb3ad3f79aedaf3fc3be14e0dfb8e86dd36cf.png,,,,,6
Stealth Worker,Winter 2016,"B2B, Recruiting and Talent","Stealth Worker Menlo Park, CA",True,https://www.stealthworker.com,https://www.ycombinator.com/companies/stealth-worker,"Information Security (Cyber Security), Compliance and Privacy (GDPR &…",70,https://bookface-images.s3.amazonaws.com/small_logos/f3a6dd3a9eb972ed76c351911a07f4bc57b6bba3.png,,,,,6
Lattice,Winter 2016,"B2B, Human Resources","Lattice San Francisco, CA",True,https://lattice.com,https://www.ycombinator.com/companies/lattice,Modern people management platform.,34,https://bookface-images.s3.amazonaws.com/small_logos/a3bbe5d7f8ca797e1e542c827ac00dda238b0b81.png,,,,,6
Flirtey (SkyDrop),Summer 2015,"Industrials, Drones",SkyDrop,True,https://www.flirtey.com/,https://www.ycombinator.com/companies/flirtey,Flirtey is the world’s first commercial drone delivery service and…,67,https://bookface-images.s3.amazonaws.com/small_logos/f7613d4b5db392ae5fc21774c6519b239f932651.png,,,,,6
Cofactor Genomics,Summer 2015,"Healthcare, Diagnostics",Cofactor Genomics,True,http://cofactorgenomics.com,https://www.ycombinator.com/companies/cofactor-genomics,Cofactor closes the precision medicine gap with predictive diagnostics,70,https://bookface-images.s3.amazonaws.com/small_logos/0138772cf18d9846bdac1578f7edd2288e7e4142.png,,,,,6
Click & Grow,Summer 2015,"Consumer, Home and Personal","Grow Palo Alto, CA",True,https://www.clickandgrow.com/,https://www.ycombinator.com/companies/click-and-grow,Click & Grow makes indoor urban gardens and farms that take complete…,69,https://bookface-images.s3.amazonaws.com/small_logos/9f7218179cb848d389526954dcc8eb4e7347c22d.png,,,,,6
The Ticket Fairy,Summer 2015,"Consumer, Travel, Leisure and Tourism","The Ticket Fairy Los Angeles, CA",True,https://www.ticketfairy.com/,https://www.ycombinator.com/companies/the-ticket-fairy,Revenue generation for live events,34,https://bookface-images.s3.amazonaws.com/small_logos/e53c336b6f7cfa45e97633c6ccf498e2fda8b386.png,,,,,6
"80,000 Hours",Summer 2015,Unspecified,Hours London,True,http://80000hours.org,https://www.ycombinator.com/companies/80-000-hours,An online guide that tells talented graduates how to maximise the…,66,https://bookface-images.s3.amazonaws.com/small_logos/9717ebf61e08e0417b1eac391fe28f656e1af4fc.png,,,,,6
Shape (ShapeScale),Summer 2015,"Consumer, Consumer Electronics",ShapeScale,True,https://shapescale.com,https://www.ycombinator.com/companies/shape-shapescale,ShapeScale is a personal 3D scanner and fitness tracker that…,61,https://bookface-images.s3.amazonaws.com/small_logos/51a78fd63bb7c35e64c4b0654f44569b121ca09b.png,,,,,6
Plate IQ,Summer 2015,"Fintech, Payments",Plate IQ,True,https://plateiq.com/,https://www.ycombinator.com/companies/plate-iq,Automated Accounts Payable,26,https://bookface-images.s3.amazonaws.com/small_logos/2ddaee10acb71c657308a3d62234972fbca8392d.png,,,,,6
PickTrace,Summer 2015,"Industrials, Agriculture",PickTrace,True,http://picktrace.com/company,https://www.ycombinator.com/companies/picktrace,Workforce Management for Large Farms,36,https://bookface-images.s3.amazonaws.com/small_logos/d4124777f89a4a55489a667bdac411c040d2ef64.png,,,,,6
Microhealth,Summer 2015,"Healthcare, Consumer Health and Wellness","Microhealth New York, NY",True,http://microhealth.com,https://www.ycombinator.com/companies/microhealth,Digital hematology,18,https://bookface-images.s3.amazonaws.com/small_logos/b4dff38384073b0991b2872c72a4ab9ba8a34087.png,,,,,6
Markhor,Summer 2015,"Consumer, Apparel and Cosmetics","Markhor San Francisco, CA",True,http://markhor.com,https://www.ycombinator.com/companies/markhor,Markhor is a DTC company that works with craftsmen to make shoes and…,69,https://bookface-images.s3.amazonaws.com/small_logos/95d23b05ce6f4cfdc38ec869ddd7d8a8aadd4e39.png,,,,,6
Circle Medical,Summer 2015,"Healthcare, Consumer Health and Wellness",Circle Medical,True,https://circlemedical.com,https://www.ycombinator.com/companies/circle-medical,Modern primary care via video and in-person,43,https://bookface-images.s3.amazonaws.com/small_logos/b41f594faeb80b2e4bc2e59901c4813b0dfb47ea.png,,,,,6
GiveCampus,Summer 2015,Education,GiveCampus,True,http://go.givecampus.com,https://www.ycombinator.com/companies/givecampus,The fundraising platform for schools.,37,https://bookface-images.s3.amazonaws.com/small_logos/55a1d2299284203df1bfdb4eb60c9ad5ca6328d2.png,,,,,6
Chaldal,Summer 2015,"Consumer, Food and Beverage",Chaldal Dhaka,True,http://chaldal.com,https://www.ycombinator.com/companies/chaldal,,0,https://bookface-images.s3.amazonaws.com/small_logos/8a7f7513296cd5afbbad6243fb872441af0160cf.png,,,,,6
Bodyport,Summer 2015,"Healthcare, Consumer Health and Wellness","Bodyport San Francisco, CA",True,http://bodyport.com,https://www.ycombinator.com/companies/bodyport,Predicting and preventing heart disease.,40,https://bookface-images.s3.amazonaws.com/small_logos/9af59cfe2253d45b23519fa9644441358b95d382.png,,,,,6
Verge Genomics,Summer 2015,"Healthcare, Drug Discovery and Delivery",Verge Genomics,True,http://vergegenomics.com,https://www.ycombinator.com/companies/verge-genomics,We use human data and AI to develop better drugs faster.,56,https://bookface-images.s3.amazonaws.com/small_logos/c4cfdad3584cced8a30fec859292e2380372a30d.png,,,,,6
Thrive Agritech,Summer 2015,"Industrials, Agriculture","Thrive Agritech New York, NY",True,http://www.thriveagritech.com,https://www.ycombinator.com/companies/thrive-agritech,We design and manufacture energy efficient LED lighting fixtures for…,69,https://bookface-images.s3.amazonaws.com/small_logos/36ed02c8fd97dc887a62befb811f54de6a64ba08.png,,,,,6
SunFarmer,Summer 2015,"Industrials, Climate",SunFarmer,True,http://sunfarmer.org,https://www.ycombinator.com/companies/sunfarmer,Reliable and affordable solar energy in developing countries.,61,https://bookface-images.s3.amazonaws.com/small_logos/eee49613f2a6fc2f2eda54599ee09dc7c3daee88.png,,,,,6
Confident LIMS,Summer 2015,"B2B, Operations","Palo Alto, CA",True,https://confidentlims.com,https://www.ycombinator.com/companies/confident-lims,Laboratory Information Management System (LIMS) serving…,56,https://bookface-images.s3.amazonaws.com/small_logos/33dbffe2b04c05f3f81daf8f724a1ad65f7cd311.png,,,,,6
Branch8,Summer 2015,"B2B, Retail","Kowloon, Hong",True,https://www.branch8.com,https://www.ycombinator.com/companies/branch8,Branch8 helps sellers to list and manage products on e-commerce…,64,https://bookface-images.s3.amazonaws.com/small_logos/8406b479dfebaf22cad2cd5f8b799ff051fe87e1.png,,,,,6
SnapMagic,Summer 2015,"B2B, Engineering, Product and Design",SnapMagic,True,https://www.snapmagic.com,https://www.ycombinator.com/companies/snapmagic,AI copilot for electronics design,33,https://bookface-images.s3.amazonaws.com/small_logos/28d703d7d5920b0a08a9902602fdc87b96bb313b.png,,,,,6
New Story,Summer 2015,Real Estate and Construction,"New Story Atlanta, GA",True,http://newstoryhomes.org,https://www.ycombinator.com/companies/new-story,We pioneer solutions to end the global housing crisis by empowering…,68,https://bookface-images.s3.amazonaws.com/small_logos/280805d97b8f928525e064cfec1a11ad08073997.png,,,,,6
