business_name,cuisine,phone,email,address,website,has_proper_website,instagram,facebook,twitter,rating,reviews,score,notes
China Bistro,,,,"Sion Trombay Road Deonar, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Gin Gin Restaurant,,,,"Four Bunglows-Andheri West, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
House Of Asia,,,,"New Link Road Andheri East, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Global Fusion Restaurant,,,,"A K Road Andheri East, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Yuhi Lounge,,,,"Powai, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
The Fatty Bao,,,,"Linking Road Bandra West, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Izumi,,,,"24th Road Bandra West, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Kuai Kitchen,,,,"Cusrow Baug Colaba, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Origami Restaurant,,,,"Supreme Business Park Powai, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
The Nines,,,,"Devle Road Juhu, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Jodhana Zaika,,,,"Gulmohar Road Borivali West, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Shizusan (Phoenix Marketcity Mall),,,,"Kamani-Kurla West, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
You Mee,,,,"Seawoods, Navi Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Eve Cafe & Bar,,,,"Hiranandani-Powai, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Kuuraku,,,,"SV Road Bandra West, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Amadeo By Oberoi,,,,"Bandra Kurla Complex-Bandra East, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Jintan - Asian Kitchen,,,,"Old Road prabhadevi, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Ping's Cafe Orient,,,,"Kamla Mill Compound-Lower Parel, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Shizusan,,,,"Senapati Bapat Marg Lower Parel, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Asian Street Kitchen,,,,"Chowpatty Road Girgaon Chowpatty, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
