name,batch,industry,location,website_present,website,description,description_length,logo,video,score
Summer 2013,,"CasetextSan Francisco, CA, USA",,False,,,0,,,9
Summer 2015,,"Leaders In TechSan Francisco, CA, USA",,False,,,0,,,9
Winter 2015,,"QuantierraNew York, NY, USA",Real Estate,False,,,0,,,9
Summer 2014,,"MetricWireKitchener, ON, Canada",Healthcare IT,False,,,0,,,9
Summer 2014,,"BillforwardSan Francisco, CA, USA",,False,,,0,,,9
Summer 2014,,"BackpackSan Francisco, CA, USA",,False,,,0,,,9
Winter 2014,,"Immunity ProjectSan Francisco, CA, USA",,False,,,0,,,9
Winter 2014,,"DyspatchVictoria, BC, Canada",,False,,,0,,,9
Winter 2012,,"MedmonkMilpitas, CA, USA",Healthcare Services,False,,,0,,,9
Winter 2014,,"CodeNowChicago, IL, USA",,False,,,0,,,9
Summer 2013,,"ReebeeKitchener, ON, Canada",,False,,,0,,,9
Summer 2013,,"AssetaNewport Beach, CA, USA",,False,,,0,,,9
Summer 2013,,"7cupsVirginia Beach, VA, USA",Healthcare Services,False,,,0,,,9
Winter 2013,,"WevorceBothell, WA, USA",,False,,,0,,,9
Winter 2013,,"RADARNew York, NY, USA",,False,,,0,,,9
Winter 2013,,"LollipuffMountain View, CA, USA",,False,,,0,,,9
Winter 2013,,"LawdingoNew York, NY, USA",,False,,,0,,,9
Summer 2012,,"Double RoboticsBurlingame, CA, USA",,False,,,0,,,9
Summer 2012,,"VastrmBurlingame, CA, USA",,False,,,0,,,9
Summer 2012,,"HealthSherpaSacramento, CA, USA",Healthcare Services,False,,,0,,,9
