name,batch,industry,location,website_present,website,detail_url,description,description_length,logo,video,team_size,founders,github,score
About,,,About What,False,,,,0,,,,,,11
What Happens at YC?,,,What Happens,False,,,,0,,,,,,11
What Happens at YC?,,,What Happens,False,,,,0,,,,,,11
What Happens at YC?,,,What Happens,False,,,,0,,,,,,11
Companies,,,Companies Startup Directory Founder Directory Launch YC,False,,,,0,,,,,,11
Startup Directory,,,Startup Directory Founder Directory Launch YC,False,,,,0,,,,,,11
Startup Directory,,,Startup Directory Founder Directory Launch YC,False,,,,0,,,,,,11
Startup Directory,,,Startup Directory Founder Directory Launch YC,False,,,,0,,,,,,11
Startup Jobs,,,Startup Jobs,False,,,,0,,,,,,11
All Jobs,,,All Jobs,False,,,,0,,,,,,11
All Jobs,,,All Jobs,False,,,,0,,,,,,11
All Jobs,,,All Jobs,False,,,,0,,,,,,11
Find a Co-Founder,,,,False,,,,0,,,,,,11
Library,,,,False,,,,0,,,,,,11
SAFE,,,,False,,,,0,,,,,,11
Apply,,,,False,,,,0,,,,,,11
Batch,,,Startup Directory,False,,,,0,,,,,,11
Work at a Startup,,,Startup Directory,False,,,,0,,,,,,11
Batch,,,Default Launch,False,,,,0,,,,,,11
Batch,,,Top Companies,False,,,,0,,,,,,11
Batch,,,Top Companies,False,,,,0,,,,,,11
Batch,,,Top Companies,False,,,,0,,,,,,11
Batch,,,Batch All,False,,,,0,,,,,,11
Industry,,,Industry All,False,,,,0,,,,,,11
HQ Region,,,Region Anywhere,False,,,,0,,,,,,11
Company Size,,,Company Size,False,,,,0,,,,,,11
Make something people want.,,,,False,,,,0,,,,,,11
